Timestamp,1. What is your age group?  ,2. What is your country or nationality?,Column 4,3. What type of tourism are you most interested in?,4. What is the average duration of your trips? ,6. Who do you usually travel with? ,4. How often do you use smartphones for travel planning or bookings? ,5. Did you plan to visit authentic cultural or nature-based (eco-tourism) locations before your trip? ,6. What were your expectations before visiting Sri Lanka? ,7. What type of information was hard to find? ,"Q8. How would you rate your overall travel experience in Sri Lanka?
(If you haven't visited Sri Lanka yet, please rate your expectations or impressions based on what you have heard, read, or seen.)",9. What were the biggest challenges you faced during your trip? ,"10. Were eco (nature-based, environmentally-friendly places like wildlife parks, nature trails) or cultural destinations easy to access? ",14. How helpful were travel apps like TripAdvisor? ,11. What digital features do you think were missing or could be improved?,12. Do you use mobile apps for travel planning or navigation? ,"17. If yes, list up to 3 travel apps you use most often.",13. Would you use an app that provides personalized eco-cultural trip suggestions? ,14. How much do you trust AI-based systems for travel planning? ,15. What languages would you prefer your travel app to support? ,21. What accessibility or comfort issues did you face during your travel experience? ,16. Did you face any language or communication barriers? ,23. Was it difficult to find local guides or cultural events? ,17. Was eco-friendly transport or accommodation hard to find? ,18. Were destinations accessible to people with physical or mobility challenges? ,26. What would have made the trip easier or more enjoyable?,19. How important is sustainability in your decision-making when choosing destinations or activities? ,20. Did you engage with local artisans or vendors during your trip? ,"29. If not, what prevented you from engaging with local vendors? ",21. How useful would an AI assistant be for recommending places based on your mood or interests? ,31. How useful would real-time alerts for nearby cultural events be to you? ,22. Would a personalized itinerary planner be helpful during your trip? ,23. How likely are you to recommend such an AI-powered app to others?,24. Do you have any specific suggestions for improving eco/cultural tourism in Sri Lanka?
30/07/2025 07:06:23,26–35,Sri Lankan,,"Eco, Beach",1–3 days,Friends,Always,3,I am a Sri Lankan,Transport Options,2,Yes,Neutral,3,Local Guide Support,Yes,"Google Maps, Booking.com",Yes,3,Sinhala,I am Sri Lankan,Yes,Yes,Yes,No,If I could know the schedule of the busses and trains beforehand it would be nice.,1,No,Didn't know how to find them,3,3,1,3,
01/08/2025 11:03:27,36–45,Guatemala ,,Eco,1–3 days,Friends,Often,Yes,To find peace and tranquility ,Cultural performances,5,Communication,Agree,5,"Real-time translation, Offline maps, Live cultural alerts",No,,Yes,4,English,Service quality,Yes,No,Yes,Yes,To be able to communicate ,1,Yes,,2,1,1,2,People have to keep the country clean. Plastic must be forbidden.  Cultural activities of the Upcountry people should be promoted. 
01/08/2025 11:14:52,46–60,Costa Rica ,,"Adventure, Beach, Culture",4–7 days,Family,Often,Maybe,,Nature trails,,,,,,No,,Yes,3,English,,,,,,,4,,,4,4,4,4,
01/08/2025 11:56:56,26–35,Sri Lankan,,Eco,1–3 days,Organized Group,Always,No,,Eco-Certified Accomodations,5,Pricing,Agree,3,Emergency support access,No,,Maybe,5,English,Physical access,No,Yes,Yes,Not Sure,Eco friendly transportation ,5,Yes,,5,3,3,5,
01/08/2025 13:04:14,36–45,Spanish,,Culture,8–14 days,Friends,Often,Yes,Visiting cultural and religious places,Transportation Options,5,Communication,Neutral,3,"Real-time translation, Eco-friendly transport info, Budget planner",Yes,"Booking, google maps, airbnb.",Yes,3,Spanish,Service quality,Yes,Yes,Yes,No,Knowing the language,4,No,I did not know where to go ,5,5,5,5,No
01/08/2025 13:59:17,60+,spanish,,"Eco, Culture",4–7 days,Friends,Sometimes,Maybe,"nessuna in particolare
",Event Schedules,3,Safety,Agree,3,"Offline maps, Live cultural alerts, Emergency support access",Yes,"google maps, ",No,2,English,Service quality,Yes,Maybe,Maybe,No,flyers,4,No,language,3,3,4,3,
01/08/2025 14:39:29,26–35,Sri Lankan,,"Eco, Adventure, Beach",1–3 days,Solo,Always,Yes,Enjoying my life ,Transportation Options,4,Pricing,Agree,4,"Real-time translation, Eco-friendly transport info, Emergency support access, Budget planner",Yes,Booking.com Uber pickme ,Yes,5,English,Physical access,Maybe,Maybe,Maybe,Not Sure,Enjoyable ,4,Yes,,5,4,4,4,
01/08/2025 16:26:15,18–25,Srilanka ,,Adventure,1–3 days,Friends,Always,Yes,,Event Schedules,4,Access,Strongly agree,5,Emergency support access,Yes,"Trip advisor, booking. Com ",Yes,3,English,Physical access,Yes,Yes,Maybe,Yes,,5,Yes,,4,3,3,4,No
01/08/2025 16:28:32,18–25,Srilankan,,"Eco, Adventure",1–3 days,Family,Always,Yes,Its a clean environment ,Transportation Options,4,Communication,Neutral,3,"Real-time translation, Local guide suggestions, Budget planner",Yes,"Googlemaps, booking.com, pickme",No,3,English,Physical access,Yes,Yes,Yes,Yes,,4,No,,4,4,4,4,Improve safety
01/08/2025 16:32:08,26–35,Sri Lanka ,,"Eco, Adventure, Beach, Culture",1–3 days,Friends,Always,Yes,,Event Schedules,5,Pricing,Neutral,5,"Local guide suggestions, Eco-friendly transport info, Live cultural alerts, Emergency support access, Budget planner",Yes,"Trip Advisor , Booking.com , AirBnB",Maybe,4,English,Signage,Maybe,No,Maybe,Not Sure,,4,Yes,,3,4,5,3,
