place_name,District,Timespan,Review,category,eco_score,cultural_score,vendor_count,local_empowerment_index,accessibility_score,crowd_level,danger_level,latitude,longitude
attidiya bird sanctuary,colombo,3 months ago,spots scenic make ideal dwelling birds creatures would lots better locals make effort preserve pristine nature,,,,,,,,,,
attidiya bird sanctuary,colombo,3 months ago,good place birdwatching different type around,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,calm peaceful location visit time got separate walking path separate path ride bicycles bicycle renting shops near park rent bicycles ride got,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,one places entire city known providing minimum different birds includes migratory local birds able witness large number,,,,,,,,,,
attidiya bird sanctuary,colombo,2 years ago,early morning magical time dawn cool surround marshy waters one observe bird life move freely around looking food preening,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,place cycling good set people maintain properly food court also enough space parking,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,urban birds watching placename thinking place similar hackbut separate develop road better go road catch amount birds pictures crocodiles,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,closest place heaven find close colombo suburbs average food court mar beauty holds within place lively laughter rent bike ride around sanctuary,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,relaxing place located conveniently plenty parking around place birds watching best times around walking track round trip passing temple good area watch birds also,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,beautiful recommended walking bicycles calm natural place ,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,fact birds sanctuary wrong term cycling track food court seating area cement tables trees get bike rent keeping nice lien,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,amidst well populated suburbs colombo lie marshy lands bird sanctuary bordering famous buddhist temple sanctuary diverse birdlike comparatively,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,nice place watch birds near colombo large lake surrounding bird sanctuary,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,contact via stay accompany many bird watching sanctuary colombo district western province including bird sanctuary,,,,,,,,,,
attidiya bird sanctuary,colombo,2 years ago,place colombo provides least different birds local migratory,,,,,,,,,,
attidiya bird sanctuary,colombo,4 months ago,good place bird watching reach early morning,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,many local birds human crocodiles lake,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,nice place see birds morning around see beautiful views,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,beautiful scenery lovely place walk jog cycle ride common area everything lake road sometimes crocodiles well nice place come evening time change,,,,,,,,,,
attidiya bird sanctuary,colombo,a year ago,important place keep balance nature however part sanctuary near bridge road near invaded shops covering scenic view board displaced well,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,ideal place day outing family place much crowded meal food court ride bicycle ride around lake rent bicycle per hour,,,,,,,,,,
attidiya bird sanctuary,colombo,3 months ago,much good nature lovers,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,good place make mind relaxed also ride bicycle,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,great place evening walk bicycle ride really lovely track sad say park condition early people,,,,,,,,,,
attidiya bird sanctuary,colombo,9 months ago,one places entire city known providing minimum different birds includes migratory local birds able witness large number,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,nice place hangout evening little food court doesn't much food varieties car park  vehicles also bicycles rent near park give nice per hour bike basically nice place spend evening family,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,great place walking track biking track food court nice look around deciding,,,,,,,,,,
attidiya bird sanctuary,colombo,2 years ago,one refreshing places see colombo bird sanctuary home avian along variations insects butterflies biodiversity place leave take,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,place riding bicycle family members also good place lovers walking around spend times many things available,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,little hard find entrance besides great mufti use trail around lake birds many hoped relaxed place popular locals tourists calm peaceful,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,lovely place walk jog cycle ride wish would place boards indicating distance start point users would know distance covered annoying number people walk natural,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,expansive area lot greenery lot birds visit early morning see birds 'll see daytime looks like increasing population surrounding areas ever rising levels driven birds away reasonably sanctuary,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,good place spend time people health fitness scenic route walking cycling track,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,relaxing place located conveniently plenty parking around place birds watching best times around walking track round trip,,,,,,,,,,
attidiya bird sanctuary,colombo,a year ago,nothing special see limited choices fish therapy fish really botany place visit interested nothing much see,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,great place evening dinner bit expensive foods compare taste quality quite reasonable also track round great cycling,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,near park temple track around sanctuary long crowded nice place evening walk friends family mountain bike rental places nearby get one less price,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,great place attractive view,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,good place visit relaxing walking couple good locally popular eateries offer clean tasty food good place scattering cycling cycles rented cheap rate,,,,,,,,,,
attidiya bird sanctuary,colombo,4 months ago,many birds,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,place colombo provides least different birds local migratory large number water monitors butterflies insects birds tend catch attention,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,place early morning beauty rising behind dams peak distance spiritual physical one breathe surrounding marsh wake call birds looking crocodiles lurking water bliss,,,,,,,,,,
attidiya bird sanctuary,colombo,a year ago,park people enter unless authorization name park given meaning going go main road,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,needs little maintenance good place animal treatment wild bird home could fly looked sick gave bird sanctuary veterinary available time taker bird many animals present,,,,,,,,,,
attidiya bird sanctuary,colombo,2 years ago,well maintained allowed visitors unless tree planting check relevant authorities needed visiting,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,urban sanctuary area near colombo suburb area sanctuary diverse biodiversity including birds butterflies fish walking track inside sanctuary obtain information entrance office,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,nature completely authorities destroyed beauty place birds see due people natural nature park greater colombo,,,,,,,,,,
attidiya bird sanctuary,colombo,a year ago,bird sanctuary place people beginners bird watching visit feel please remember pollute go,,,,,,,,,,
attidiya bird sanctuary,colombo,6 years ago,nice place bike ridding bird watching workers trained security guard came told take photographs door camera phone commercial recording allowed,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,peace full place nice place hangout friends,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,track separate bicycle track great going food court well free cs days week,,,,,,,,,,
attidiya bird sanctuary,colombo,3 years ago,extremely picturesque well planned walking cycling path also food court must everyone healthy body mind soul,,,,,,,,,,
attidiya bird sanctuary,colombo,5 years ago,good place easy reach ample parking good food outlets needs segregated cans places people tend near vicinity,,,,,,,,,,
attidiya bird sanctuary,colombo,4 months ago,good place watch birds,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,important also see many variety birds see crocodiles rivers must protect aria definitely,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,formal birding trail within sanctuary really good proper trail constructed maintained ticket booth information center,,,,,,,,,,
attidiya bird sanctuary,colombo,2 years ago,doesn't go days constructions going evenings full  machines bird watchers ever watch birds go morning group safety,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,scenic place walk experience paddy experience deferent happenings people ages walks life,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,close city natural beauty home several varieties birds sri lanka spring several birds come different countries,,,,,,,,,,
attidiya bird sanctuary,colombo,4 years ago,place close colombo bird watching see creatures like dragonflies butterflies like monitor water monitor entrance free unless hire guide plastic pollution need addressed direction,,,,,,,,,,
